OrderID,OrderDate,ShipDate,DeliveryDate,Category,SubCategory,Quantity,UnitPrice,Sales,Discount,Profit,Region,PaymentMode,ReviewText,Gender,Age
50,,2023-06-10,2023-06-11,Grocery,Snacks,6.0,233,1398,5,68.83,East,UPI,Poor,Other,54.0
51,2023-11-01,2023-11-03,2023-11-04,Grocery,Fruits,3.0,3612,10836,5,771.37,East,UPI,Poor,Female,
52,2023-12-24,2023-12-28,2023-12-30,Grocery,Fruits,9.0,1453,13077,15,652.25,West,UPI,Bad,Female,25.0
53,2023-08-16,2023-08-20,2023-08-21,Furniture,Bed,2.0,639,1278,15,113.03,South,COD,Good,Male,50.0
54,2023-09-13,2023-09-14,2023-09-15,Electronics,Tablet,3.0,3424,10272,5,1878.2,North,Card,Bad,Female,62.0
55,2023-08-12,2023-08-15,2023-08-16,Electronics,Camera,8.0,1924,15392,5,2508.96,East,UPI,Bad,Other,42.0
56,2023-11-07,2023-11-09,2023-11-11,Furniture,Sofa,1.0,4100,4100,5,216.26,North,UPI,Poor,Female,20.0
57,2023-03-24,2023-03-25,2023-03-26,Electronics,Camera,,3736,18680,0,3055.34,South,UPI,Good,Other,62.0
58,2023-04-05,2023-04-09,2023-04-10,Electronics,Tablet,1.0,4683,4683,15,227.03,South,Card,,Female,
59,2023-08-10,2023-08-13,2023-08-14,Clothing,Jeans,1.0,1177,1177,15,134.2,North,COD,Poor,Male,31.0
60,2023-08-14,2023-08-16,2023-08-18,Furniture,Sofa,3.0,2250,6750,5,914.36,South,Card,Average,Other,51.0
61,2023-04-16,2023-04-19,2023-04-20,Grocery,Snacks,6.0,1458,8748,15,704.13,North,UPI,Excellent,Female,34.0
62,2023-02-22,2023-02-24,2023-02-25,Furniture,Chair,4.0,3131,12524,0,2467.29,South,COD,Average,Other,64.0
63,2023-12-26,2023-12-30,2024-01-01,Electronics,Camera,7.0,3545,24815,15,3082.31,North,COD,Average,Other,46.0
64,2023-11-22,2023-11-23,2023-11-24,Grocery,Beverages,3.0,4799,14397,5,1047.01,North,Card,Bad,Male,31.0
65,2023-08-27,2023-08-31,2023-09-02,Furniture,Chair,9.0,2396,21564,10,2798.29,East,COD,Poor,Male,43.0
66,2023-07-26,2023-07-29,2023-07-30,Grocery,Snacks,8.0,4820,38560,10,2695.74,West,Card,,Other,31.0
67,2023-08-27,2023-08-31,2023-09-01,Grocery,Beverages,8.0,1746,13968,10,1593.42,South,Card,Average,Other,32.0
68,2023-09-30,2023-10-03,2023-10-05,Grocery,Snacks,7.0,4680,32760,15,1476.14,South,Card,Excellent,Male,34.0
69,2023-04-19,2023-04-21,2023-04-22,Electronics,Tablet,9.0,1703,15327,5,2451.66,West,COD,Bad,Other,25.0
70,2023-10-09,2023-10-13,2023-10-15,Grocery,Snacks,3.0,2572,7716,0,806.03,East,COD,Poor,Female,54.0
71,,2023-04-26,2023-04-28,Electronics,Laptop,5.0,2809,14045,0,1024.29,East,Card,Good,Other,20.0
72,2023-01-06,2023-01-08,2023-01-10,Clothing,Kurta,8.0,4424,35392,15,6004.26,West,COD,Excellent,Other,23.0
73,2023-01-26,2023-01-29,2023-01-30,Furniture,Chair,8.0,4389,35112,10,4116.18,West,UPI,Bad,Female,21.0
74,2023-01-01,2023-01-03,2023-01-05,Clothing,Jacket,1.0,4727,4727,0,612.03,West,Card,,Female,28.0
75,2023-01-10,2023-01-11,2023-01-12,Clothing,Jacket,3.0,3844,11532,5,1100.92,South,Card,Poor,Female,37.0
76,2023-02-07,2023-02-10,2023-02-11,Electronics,Camera,5.0,2476,12380,0,835.7,South,COD,Good,Male,61.0
77,2023-03-17,2023-03-20,2023-03-21,Furniture,Table,5.0,475,2375,10,407.73,North,Card,Excellent,Male,25.0
78,2023-12-05,2023-12-08,2023-12-10,Clothing,Shirt,5.0,1414,7070,0,551.18,South,Card,Excellent,Male,62.0
79,2023-01-14,2023-01-18,2023-01-19,,Chair,2.0,2443,4886,15,481.22,North,Card,,Other,32.0
80,2023-11-05,2023-11-09,2023-11-11,Electronics,Laptop,1.0,1348,1348,10,130.52,East,COD,Average,Female,23.0
81,2023-06-06,2023-06-08,2023-06-09,Clothing,Kurta,3.0,2135,6405,5,1120.1,North,UPI,Poor,Other,50.0
82,,2023-11-27,2023-11-29,Furniture,Bed,6.0,1957,11742,5,1384.29,South,UPI,Excellent,Male,41.0
83,2023-06-22,2023-06-24,2023-06-25,Grocery,Vegetables,8.0,3328,26624,10,2667.96,East,COD,,Female,60.0
84,2023-02-07,2023-02-09,2023-02-11,Clothing,Shirt,4.0,4206,16824,5,2977.08,East,COD,Bad,Female,60.0
85,2023-04-21,2023-04-25,2023-04-27,Grocery,Beverages,8.0,3105,24840,5,3344.26,East,UPI,Poor,Other,59.0
86,2023-10-24,2023-10-26,2023-10-27,Electronics,Tablet,9.0,4246,38214,0,2508.25,East,UPI,Poor,Male,43.0
87,2023-02-24,2023-02-27,2023-03-01,Furniture,Bed,6.0,3130,18780,0,1874.66,East,UPI,Good,Male,26.0
88,2023-03-04,2023-03-08,2023-03-09,Furniture,Bed,9.0,4312,38808,5,3687.68,South,COD,Bad,Other,35.0
89,2023-07-01,2023-07-05,2023-07-06,Clothing,Jeans,1.0,1054,1054,15,167.45,East,Card,Poor,Male,46.0
90,2023-02-18,2023-02-21,2023-02-22,Clothing,Kurta,6.0,2813,16878,15,1174.99,West,UPI,Good,Female,39.0
91,2023-08-03,2023-08-06,2023-08-07,Grocery,Fruits,8.0,4522,36176,0,3490.64,West,COD,,Male,62.0
92,2023-06-24,2023-06-26,2023-06-28,Electronics,Mobile,8.0,2165,17320,0,2880.82,South,UPI,Bad,Female,55.0
93,2023-05-11,2023-05-15,2023-05-17,Clothing,Kurta,4.0,3435,13740,0,842.61,South,COD,Bad,Male,40.0
94,2023-11-09,2023-11-12,2023-11-13,,Jacket,2.0,3562,7124,0,792.17,West,COD,Average,Other,25.0
95,2023-10-18,2023-10-22,2023-10-24,Furniture,Chair,5.0,3775,18875,10,2686.1,South,Card,Average,Male,38.0
96,2023-09-20,2023-09-21,2023-09-22,Furniture,Sofa,7.0,1043,7301,5,360.32,North,COD,Poor,Other,53.0
97,2023-01-11,2023-01-13,2023-01-14,Electronics,Tablet,2.0,613,1226,0,211.63,South,COD,Excellent,Male,54.0
98,2023-03-22,2023-03-24,2023-03-26,Furniture,Bed,9.0,3677,33093,5,5249.07,West,COD,Good,Female,34.0
99,2023-07-20,2023-07-22,2023-07-24,Furniture,Chair,,4133,33064,0,3649.69,East,Card,Excellent,Female,46.0
100,2023-05-08,2023-05-09,2023-05-11,Electronics,Mobile,7.0,904,6328,10,987.48,West,UPI,Bad,Male,54.0
101,2023-10-14,2023-10-16,2023-10-17,Electronics,Mobile,7.0,441,3087,0,276.45,West,Card,Excellent,Male,24.0
102,2023-05-02,2023-05-04,2023-05-06,Furniture,Chair,1.0,3069,3069,0,329.83,South,Card,Average,Male,53.0
103,2023-06-13,2023-06-14,2023-06-15,Clothing,Jeans,5.0,3950,19750,15,1940.28,East,COD,Bad,Other,64.0
104,2023-08-15,2023-08-19,2023-08-20,Grocery,Beverages,6.0,1885,11310,15,1259.14,North,Card,Average,Male,60.0
105,2023-01-17,2023-01-18,2023-01-19,Furniture,Chair,,1624,3248,0,199.01,North,COD,Bad,Male,56.0
106,2023-04-12,2023-04-14,2023-04-16,Clothing,Kurta,2.0,1352,2704,15,354.42,East,UPI,Excellent,Other,34.0
107,2023-12-05,2023-12-09,2023-12-10,Furniture,Chair,7.0,4207,29449,5,5419.77,North,UPI,Poor,Female,33.0
108,2023-12-31,2024-01-02,2024-01-03,Furniture,Bed,9.0,3826,34434,10,6140.79,West,Card,Good,Other,43.0
109,2023-05-17,2023-05-20,2023-05-22,Electronics,Mobile,7.0,3953,27671,10,3850.47,West,Card,Average,Other,46.0
110,2023-04-13,2023-04-14,2023-04-16,Furniture,Sofa,4.0,1034,4136,10,364.29,East,COD,Excellent,Male,51.0
111,2023-01-15,2023-01-19,2023-01-20,Clothing,Shirt,8.0,4378,35024,10,1885.1,West,UPI,Good,Male,35.0
112,2023-09-08,2023-09-11,2023-09-12,Electronics,Tablet,2.0,410,820,10,133.22,North,Card,Average,Other,56.0
113,2023-07-04,2023-07-08,2023-07-10,Furniture,Bed,1.0,4672,4672,5,541.4,West,COD,Good,Female,47.0
114,2023-06-26,2023-06-29,2023-06-30,Electronics,Camera,7.0,4535,31745,0,5074.15,South,Card,Bad,Female,54.0
115,2023-12-10,2023-12-14,2023-12-16,Electronics,Tablet,1.0,2732,2732,10,264.69,East,Card,Poor,Male,54.0
116,2023-12-10,2023-12-13,2023-12-15,Clothing,Jacket,6.0,906,5436,15,843.86,North,Card,Good,Other,21.0
117,2023-11-26,2023-11-29,2023-12-01,Clothing,Jacket,4.0,984,3936,10,449.54,North,Card,Good,Male,20.0
118,2023-06-26,2023-06-27,2023-06-28,Grocery,Beverages,5.0,1896,9480,5,1759.46,West,Card,Good,Male,59.0
119,2023-06-09,2023-06-12,2023-06-14,Clothing,Jeans,2.0,2209,4418,0,322.89,North,UPI,Good,Male,21.0
120,2023-05-03,2023-05-07,2023-05-08,Furniture,Chair,2.0,1390,2780,0,302.12,North,COD,Good,Female,29.0
121,,2023-08-18,2023-08-20,Furniture,Chair,8.0,1660,13280,0,2128.54,East,Card,Average,Male,43.0
122,2023-03-22,2023-03-24,2023-03-26,Furniture,Table,5.0,3487,17435,15,2259.85,North,Card,Poor,Other,20.0
123,2023-09-19,2023-09-23,2023-09-24,Grocery,Vegetables,2.0,4030,8060,0,725.84,West,UPI,Average,Other,58.0
124,2023-06-04,2023-06-06,2023-06-08,Electronics,Camera,9.0,1816,16344,5,1022.83,East,UPI,Average,Male,48.0
125,2023-12-22,2023-12-24,2023-12-26,Clothing,Jeans,5.0,3841,19205,10,1281.02,North,UPI,Excellent,Other,19.0
126,2023-07-07,2023-07-11,2023-07-13,Grocery,Snacks,1.0,2164,2164,15,163.65,North,COD,Average,Female,24.0
127,2023-08-10,2023-08-11,2023-08-12,Furniture,Chair,2.0,4002,8004,15,985.77,South,Card,Excellent,Other,34.0
128,2023-04-30,2023-05-03,2023-05-05,Grocery,Beverages,1.0,985,985,0,57.81,South,Card,Poor,Other,52.0
129,2023-03-20,2023-03-24,2023-03-25,Grocery,Snacks,7.0,128,896,10,139.69,East,Card,Bad,Female,63.0
130,2023-06-06,2023-06-09,2023-06-11,Furniture,Chair,4.0,138,552,10,84.07,West,Card,Excellent,Female,28.0
131,,2023-01-24,2023-01-26,Clothing,Kurta,1.0,3553,3553,15,165.18,North,COD,Excellent,Female,36.0
132,2023-06-11,2023-06-12,2023-06-13,Electronics,Laptop,3.0,4765,14295,15,1927.88,West,UPI,Good,Female,32.0
133,2023-01-08,2023-01-11,2023-01-12,Grocery,Vegetables,8.0,1084,8672,0,552.19,South,Card,Excellent,Other,20.0
134,2023-02-15,2023-02-18,2023-02-19,Electronics,Tablet,5.0,3999,19995,5,2706.78,South,Card,Good,Female,61.0
135,2023-04-27,2023-04-29,2023-05-01,Grocery,Vegetables,9.0,1116,10044,15,509.1,West,COD,Poor,Male,25.0
136,2023-02-01,2023-02-04,2023-02-05,Electronics,Mobile,2.0,1489,2978,10,375.24,North,UPI,Excellent,Female,58.0
137,,2023-03-18,2023-03-20,Grocery,Fruits,6.0,3862,23172,15,1415.93,West,COD,Excellent,Male,27.0
138,2023-03-18,2023-03-22,2023-03-24,Grocery,Vegetables,2.0,101,202,0,12.76,South,COD,Bad,Female,56.0
139,2023-11-01,2023-11-05,2023-11-06,Furniture,Table,2.0,4338,8676,5,463.03,North,COD,Average,Female,26.0
140,2023-07-23,2023-07-27,2023-07-29,Furniture,Chair,7.0,2370,16590,15,1337.18,South,Card,Excellent,Female,64.0
141,2023-11-10,2023-11-12,2023-11-14,Clothing,Kurta,7.0,558,3906,15,441.41,East,COD,Good,Female,31.0
142,2023-10-28,2023-10-31,2023-11-02,Clothing,Jeans,6.0,2234,13404,15,842.33,East,COD,,Male,25.0
143,2023-03-23,2023-03-25,2023-03-27,Electronics,Camera,5.0,4890,24450,15,2592.19,East,Card,Poor,Male,20.0
144,2023-07-26,2023-07-27,2023-07-28,Grocery,Beverages,3.0,4230,12690,0,771.93,West,UPI,Poor,Other,41.0
145,2023-06-01,2023-06-03,2023-06-04,Grocery,Snacks,,2879,11516,15,1616.67,East,UPI,Excellent,Female,51.0
146,2023-10-22,2023-10-24,2023-10-25,Grocery,Vegetables,2.0,2482,4964,5,796.7,East,Card,,Other,62.0
147,2023-01-08,2023-01-12,2023-01-14,Furniture,Bed,5.0,3058,15290,0,1066.25,South,COD,Bad,Female,31.0
148,2023-11-12,2023-11-13,2023-11-14,Furniture,Sofa,5.0,4105,20525,0,2372.17,South,COD,Good,Female,56.0
149,2023-08-17,2023-08-18,2023-08-19,Furniture,Chair,9.0,2140,19260,15,1452.44,North,UPI,Average,Female,20.0
150,,2023-06-24,2023-06-25,Furniture,Table,9.0,1380,12420,0,1084.35,North,Card,Excellent,Male,60.0
151,2023-02-13,2023-02-17,2023-02-19,Electronics,Camera,5.0,2312,11560,0,2041.79,East,COD,Excellent,Other,37.0
152,2023-10-09,2023-10-10,2023-10-11,Furniture,Table,2.0,1068,2136,10,162.77,East,COD,Poor,Male,22.0
153,2023-06-30,2023-07-02,2023-07-04,Electronics,Laptop,3.0,1329,3987,15,244.86,East,COD,Bad,Male,46.0
154,2023-12-06,2023-12-09,2023-12-11,Electronics,Camera,8.0,3349,26792,10,3617.63,South,UPI,,Female,59.0
155,2023-09-21,2023-09-22,2023-09-24,Grocery,Fruits,8.0,2133,17064,0,1093.55,South,UPI,Bad,Male,43.0
156,2023-10-30,2023-11-03,2023-11-04,,Jeans,2.0,4149,8298,0,1449.09,West,COD,Good,Female,21.0
157,2023-03-31,2023-04-02,2023-04-04,Electronics,Laptop,3.0,3224,9672,15,1214.15,South,Card,Good,Male,58.0
158,2023-11-20,2023-11-22,2023-11-23,Electronics,Tablet,9.0,3928,35352,0,3298.44,South,Card,Excellent,Female,36.0
159,2023-11-27,2023-11-28,2023-11-30,Furniture,Table,2.0,1100,2200,10,228.37,South,Card,Good,Male,32.0
160,2023-04-03,2023-04-04,2023-04-05,Electronics,Tablet,7.0,2290,16030,0,1716.22,North,UPI,Average,Female,43.0
161,2023-01-03,2023-01-04,2023-01-06,Clothing,Kurta,8.0,2989,23912,5,2715.16,West,Card,Excellent,Male,46.0
162,2023-08-16,2023-08-19,2023-08-20,Furniture,Chair,5.0,4499,22495,0,1955.05,West,COD,Bad,Other,60.0
163,2023-05-04,2023-05-07,2023-05-08,Electronics,Laptop,7.0,1114,7798,15,975.16,West,COD,Average,Other,21.0
164,2023-02-21,2023-02-23,2023-02-24,Electronics,Laptop,6.0,4982,29892,5,2128.38,North,COD,Excellent,Other,25.0
165,2023-05-12,2023-05-14,2023-05-15,Grocery,Beverages,4.0,1781,7124,5,615.15,South,COD,Excellent,Female,56.0
166,2023-10-25,2023-10-29,2023-10-31,Electronics,Camera,7.0,2459,17213,0,2325.42,West,Card,Good,Male,59.0
167,2023-01-26,2023-01-27,2023-01-28,Clothing,Kurta,7.0,1400,9800,5,1294.38,South,Card,Good,Male,59.0
168,2023-02-19,2023-02-23,2023-02-24,Grocery,Vegetables,1.0,3325,3325,10,499.98,West,COD,Bad,Male,35.0
169,2023-02-18,2023-02-21,2023-02-23,Clothing,Jacket,1.0,1562,1562,5,108.25,South,UPI,Poor,Male,39.0
170,2023-05-18,2023-05-19,2023-05-21,Grocery,Snacks,3.0,1087,3261,10,387.42,North,UPI,Good,Female,42.0
171,2023-02-11,2023-02-13,2023-02-14,Furniture,Bed,3.0,4458,13374,0,2024.51,East,UPI,Good,Other,56.0
172,2023-06-16,2023-06-17,2023-06-19,Grocery,Vegetables,3.0,1341,4023,5,522.67,West,UPI,Good,Other,26.0
173,2023-02-18,2023-02-22,2023-02-24,Grocery,Snacks,6.0,2572,15432,10,839.07,West,UPI,Excellent,Other,49.0
174,2023-10-27,2023-10-28,2023-10-30,Electronics,Tablet,6.0,1835,11010,5,1590.05,East,Card,Bad,Other,61.0
175,2023-04-26,2023-04-30,2023-05-02,Furniture,Table,1.0,3974,3974,5,441.53,West,Card,,Male,30.0
176,2023-06-07,2023-06-08,2023-06-09,Electronics,Camera,9.0,4506,40554,15,3840.81,West,UPI,Excellent,Other,33.0
177,2023-01-05,2023-01-09,2023-01-11,Furniture,Chair,7.0,4543,31801,10,2085.39,West,UPI,Good,Female,38.0
178,2023-09-29,2023-10-03,2023-10-05,Grocery,Beverages,,4651,27906,10,4513.31,West,Card,Poor,Female,53.0
179,2023-09-06,2023-09-07,2023-09-08,Electronics,Camera,2.0,1701,3402,0,214.82,East,COD,Excellent,Female,40.0
180,2023-05-23,2023-05-25,2023-05-27,Furniture,Bed,2.0,4506,9012,5,1608.76,North,Card,Excellent,Other,59.0
181,2023-05-14,2023-05-17,2023-05-19,,Table,3.0,3329,9987,15,1102.48,East,Card,Good,Other,38.0
182,2023-09-13,2023-09-15,2023-09-16,Clothing,Jeans,2.0,3078,6156,5,1132.2,South,UPI,Poor,Female,50.0
183,2023-01-25,2023-01-26,2023-01-27,Grocery,Fruits,1.0,1233,1233,15,172.64,South,UPI,Bad,Male,32.0
184,2023-06-09,2023-06-10,2023-06-11,Grocery,Snacks,4.0,3136,12544,15,1894.89,South,Card,Excellent,Other,36.0
185,2023-09-24,2023-09-26,2023-09-27,Clothing,Kurta,5.0,2053,10265,5,797.34,East,COD,Good,Other,36.0
186,2023-09-20,2023-09-24,2023-09-26,Electronics,Camera,5.0,1279,6395,5,545.61,West,UPI,Excellent,Other,57.0
187,2023-05-04,2023-05-06,2023-05-07,Electronics,Laptop,7.0,1503,10521,15,680.22,South,COD,Poor,Other,52.0
188,2023-03-27,2023-03-28,2023-03-30,Clothing,Kurta,6.0,1649,9894,10,1425.11,East,Card,Average,Male,55.0
189,2023-08-30,2023-08-31,2023-09-01,Clothing,Shirt,7.0,1000,7000,0,689.68,North,Card,Poor,Male,49.0
190,2023-11-04,2023-11-08,2023-11-09,Grocery,Snacks,3.0,4692,14076,15,1757.76,North,Card,Excellent,Female,35.0
191,2023-02-11,2023-02-12,2023-02-14,Grocery,Fruits,9.0,3904,35136,15,5343.99,North,UPI,,Male,26.0
192,2023-01-10,2023-01-12,2023-01-14,Electronics,Laptop,2.0,671,1342,15,100.61,West,UPI,Excellent,Other,51.0
193,2023-12-09,2023-12-13,2023-12-14,Grocery,Fruits,6.0,2347,14082,0,2000.91,East,UPI,Excellent,Male,40.0
194,2023-04-19,2023-04-22,2023-04-24,,Tablet,8.0,3676,29408,10,4167.22,East,UPI,Poor,Male,57.0
195,2023-01-28,2023-01-31,2023-02-01,Furniture,Sofa,4.0,1774,7096,15,1002.44,South,UPI,Poor,Female,49.0
196,2023-12-03,2023-12-06,2023-12-08,Grocery,Vegetables,6.0,3794,22764,15,2461.22,West,UPI,Good,Female,32.0
197,2023-04-15,2023-04-16,2023-04-17,Furniture,Sofa,,1927,1927,5,163.12,South,COD,Bad,Female,38.0
198,2023-06-09,2023-06-12,2023-06-14,,Vegetables,,869,6952,5,811.7,West,Card,Average,Female,32.0
199,2023-11-11,2023-11-13,2023-11-15,Electronics,Tablet,2.0,2330,4660,0,493.14,South,UPI,Bad,Female,47.0
200,2023-05-02,2023-05-06,2023-05-08,Grocery,Snacks,3.0,785,2355,0,345.88,East,COD,Good,Male,64.0
201,2023-05-31,2023-06-04,2023-06-06,Furniture,Chair,5.0,401,2005,15,227.81,East,Card,Average,Male,39.0
202,2023-10-10,2023-10-12,2023-10-13,Grocery,Snacks,2.0,4965,9930,0,1517.25,East,COD,Excellent,Male,
203,2023-01-19,2023-01-22,2023-01-23,Clothing,Shirt,1.0,2843,2843,10,242.14,South,COD,Excellent,Other,42.0
204,2023-05-09,2023-05-13,2023-05-14,Grocery,Snacks,8.0,461,3688,5,180.08,East,UPI,Excellent,Other,49.0
205,2023-10-29,2023-11-01,2023-11-02,Grocery,Beverages,2.0,3662,7324,0,976.02,East,Card,Good,Male,26.0
206,2023-01-12,2023-01-13,2023-01-15,Grocery,Vegetables,6.0,2381,14286,5,2388.55,South,UPI,Bad,Male,37.0
207,2023-05-12,2023-05-15,2023-05-16,Clothing,Jacket,3.0,3995,11985,10,2151.37,West,Card,Average,Female,54.0
208,2023-02-07,2023-02-09,2023-02-11,Furniture,Chair,6.0,2123,12738,10,578.74,West,UPI,Poor,Male,24.0
209,2023-09-11,2023-09-15,2023-09-17,Grocery,Snacks,3.0,4531,13593,5,1733.26,South,Card,Average,Other,36.0
210,2023-01-30,2023-02-01,2023-02-03,Electronics,Camera,3.0,4601,13803,15,1174.85,North,COD,Excellent,Other,62.0
211,2023-04-26,2023-04-27,2023-04-28,Grocery,Beverages,7.0,1306,9142,0,578.6,West,COD,Average,Male,62.0
212,2023-07-17,2023-07-20,2023-07-22,Electronics,Laptop,6.0,1383,8298,15,1183.88,West,COD,Good,Female,33.0
213,2023-04-17,2023-04-18,2023-04-20,Electronics,Laptop,4.0,237,948,5,67.36,South,Card,Poor,Female,34.0
214,2023-03-10,2023-03-11,2023-03-13,Clothing,Shirt,3.0,4086,12258,5,2071.77,North,UPI,Poor,Female,22.0
215,2023-05-09,2023-05-13,2023-05-14,Grocery,Beverages,4.0,4833,19332,10,3228.99,West,Card,Good,Female,63.0
